person_id,person_name,facial_symmetry_mean,facial_symmetry_std,facial_symmetry_median,face_width_height_ratio_mean,face_width_height_ratio_std,eye_spacing_ratio_mean,eye_spacing_ratio_std,jaw_ratio_mean,jaw_ratio_std,smile_intensity_mean,smile_intensity_std,smile_intensity_max,eye_contact_mean,eye_contact_std,eye_openness_mean,eye_openness_std,gaze_stability_mean,gaze_stability_std,head_tilt_mean,head_tilt_std,expression_speed_mean,expression_speed_std,happy_mean,neutral_mean,surprise_mean,processed_frames,video_name,video_file
_bng_nhn,Đỗ Băng Nhạn,0.8938288688659668,0.0615195669233799,0.8952318429946899,1.4114763736724854,0.10341161489486694,0.651547372341156,0.025453021749854088,0.7632957100868225,0.02091236598789692,0.17234289646148682,0.18664588034152985,0.871791660785675,0.9568803906440735,0.024940378963947296,0.7510690689086914,0.19234956800937653,0.9867895245552063,0.015384646132588387,0.06247909739613533,0.04882827028632164,0.14079713821411133,0.16473892331123352,0.15483060479164124,0.2538801431655884,0.15111765265464783,121.0,1 (2),raw/_bng_nhn/1 (2).mp4
_bng_nhn,Đỗ Băng Nhạn,0.7585300803184509,0.10455948114395142,0.7253841161727905,1.4119770526885986,0.17197909951210022,0.6479204297065735,0.02549956925213337,0.7606671452522278,0.023010598495602608,0.08761781454086304,0.1540985107421875,0.6808335781097412,0.9355452656745911,0.04720481112599373,0.8818918466567993,0.17641261219978333,0.9768193364143372,0.034141864627599716,0.10410215705633163,0.1188221275806427,0.13588064908981323,0.18212054669857025,0.03544064983725548,0.4158950746059418,0.07165717333555222,55.0,1 (3),raw/_bng_nhn/1 (3).mp4
_bng_nhn,Đỗ Băng Nhạn,0.9436309337615967,0.049612756818532944,0.9567536115646362,0.7436735033988953,0.04993106797337532,0.6464996337890625,0.015154446475207806,0.7579643130302429,0.01355153787881136,0.24557271599769592,0.26906466484069824,1.0,0.975460946559906,0.01787404902279377,0.9563280940055847,0.1459132879972458,0.9899479150772095,0.01435426902025938,0.10541845113039017,0.08516436070203781,0.13786150515079498,0.21281445026397705,0.33562642335891724,0.17789702117443085,0.0833711326122284,114.0,1 (4),raw/_bng_nhn/1 (4).mp4
_bng_nhn,Đỗ Băng Nhạn,0.9476548433303833,0.04044728726148605,0.9620376825332642,0.4676758646965027,0.039972931146621704,0.6484478712081909,0.024135971441864967,0.7646698951721191,0.02265147492289543,0.4308694005012512,0.42708995938301086,1.0,0.9780002236366272,0.014838033355772495,0.8710992336273193,0.2633935809135437,0.9917675852775574,0.011665558442473412,0.10425198078155518,0.09040537476539612,0.22661533951759338,0.30413636565208435,0.13486512005329132,0.24514761567115784,0.1931443065404892,162.0,1 (5),raw/_bng_nhn/1 (5).mp4
_bng_nhn,Đỗ Băng Nhạn,0.9432170391082764,0.03637107461690903,0.9448170065879822,1.4541116952896118,0.068044513463974,0.6422843933105469,0.014000206254422665,0.7606799006462097,0.017160307615995407,0.14710313081741333,0.16461461782455444,0.8112295866012573,0.9772961735725403,0.014426121488213539,0.563132643699646,0.1473003476858139,0.9932689666748047,0.009556095115840435,0.021491913124918938,0.019615067169070244,0.11267190426588058,0.14933517575263977,0.14504127204418182,0.29021650552749634,0.10862142592668533,137.0,1,raw/_bng_nhn/1.mp4
_bng_nhn,Đỗ Băng Nhạn,0.8973723530769349,0.05850203335285187,0.8968448519706727,1.0977828979492188,0.08666784539818764,0.647339940071106,0.02084864303469658,0.7614553928375244,0.019457256980240346,0.21670119166374208,0.24030272662639618,0.8727709650993347,0.9646366000175476,0.023856678791344166,0.8047041773796082,0.18507387936115266,0.987718665599823,0.017020486667752265,0.07954871989786624,0.0725670401006937,0.1507653072476387,0.20262909233570098,0.16116081401705742,0.27660727202892305,0.12158233821392059,117.8,person_profile,raw/_bng_nhn/person_profile.mp4
alesandrova_marina,Alesandrova Marina,0.8986964225769043,0.09957124292850494,0.9452089071273804,0.8738980889320374,0.05490494146943092,0.68536776304245,0.020285770297050476,0.768095076084137,0.021793486550450325,0.05721115693449974,0.13899864256381989,0.8490850329399109,0.9578545689582825,0.056317396461963654,0.9641966819763184,0.10925492644309998,0.9823101758956909,0.0328989215195179,0.08923538774251938,0.09685176610946655,0.1199258491396904,0.16589988768100739,0.03245968744158745,0.6128180623054504,0.036325208842754364,81.0,1,raw/alesandrova_marina/1.mp4
alesandrova_marina,Alesandrova Marina,0.9301245808601379,0.07379428297281265,0.9462156295776367,0.6506485342979431,0.0346592515707016,0.6684359312057495,0.02018284983932972,0.7786204218864441,0.01594655029475689,0.2728363573551178,0.23972612619400024,0.795265793800354,0.980657696723938,0.02196170762181282,0.9163332581520081,0.19556351006031036,0.989941418170929,0.01800915226340294,0.07186657935380936,0.08217041939496994,0.15222714841365814,0.19736211001873016,0.06753075122833252,0.41609641909599304,0.011391856707632542,93.0,2,raw/alesandrova_marina/2.mp4
alesandrova_marina,Alesandrova Marina,0.8853687644004822,0.049343008548021317,0.8746874332427979,0.6231362223625183,0.03594127297401428,0.6533809900283813,0.025901509448885918,0.7612165808677673,0.020503776147961617,0.15324386954307556,0.26012498140335083,1.0,0.9691834449768066,0.030478693544864655,0.9438067078590393,0.1661231964826584,0.9865311980247498,0.023651959374547005,0.09043724834918976,0.09939735382795334,0.19254715740680695,0.2557884156703949,0.21995095908641815,0.26045921444892883,0.10927369445562363,76.0,3,raw/alesandrova_marina/3.mp4
alesandrova_marina,Alesandrova Marina,0.9142497181892395,0.05925355479121208,0.9266151189804077,0.6440480947494507,0.03363720700144768,0.6587789058685303,0.02456296794116497,0.7898896932601929,0.01855274848639965,0.3229449987411499,0.269748717546463,0.8309164643287659,0.9785013794898987,0.018880106508731842,0.8777979612350464,0.22697044909000397,0.990290641784668,0.013575254939496517,0.07262849062681198,0.06493573635816574,0.1436283439397812,0.19549408555030823,0.11074967682361603,0.3300156891345978,0.005590148735791445,104.0,4,raw/alesandrova_marina/4.mp4
