person,person_id,similarity_to_type,cluster,num_videos
Nguyễn Ngoc Huyền,nguyn_ngoc_huyn,-0.15093306,0,8
Chu Lâm,chu_lm,-0.15879324,0,8
Katsumura Mika,katsumura_mika,-0.1717363,1,4
Jang Won-young,jang_wonyoung,-0.17308357,1,9
Riho Takada,riho_takada,-0.17428647,1,7
Fukada Kyoko,fukada_kyoko,-0.17768739,1,9
Nagano Mei,nagano_mei,-0.18693402,1,9
Lý Thuần,l_thun,-0.19299945,1,9
Hoshi Moeka,hoshi_moeka,-0.19607359,1,6
Jennifer Connely,jennifer_connely,-0.2052039,1,10
Nakamori Akina,nakamori_akina,-0.20984034,1,11
Anna Chipovskaya,anna_chipovskaya,-0.21165222,1,8
Lee Ju Eun,lee_ju_eun,-0.22009212,1,8
Trịnh Sảng,trnh_sng,-0.22402269,1,9
Rebecca Ferguson,rebecca_ferguson,-0.22658874,1,5
Aoi Yu,aoi_yu,-0.22874184,1,9
Aragaki Yuko,aragaki_yuko,-0.2304464,1,6
Oh Se Young,oh_se_young,-0.2322114,1,5
Han Chae-young,han_chaeyoung,-0.23278283,1,5
Choi Ye-won,choi_yewon,-0.23281775,1,9
Lynne Frederick,lynne_frederick,-0.24275358,1,6
Phương Lôi,phng_li,-0.24350199,1,4
Tanaka Yuko,tanaka_yuko,-0.24600099,1,8
Trương Miểu Di,trng_miu_di,-0.24733567,1,10
Imada Mio,imada_mio,-0.25081497,1,8
Blake Lively,blake_lively,-0.2548091,1,6
Phương Anh Đào,phng_anh_o,-0.25804886,0,9
Kim Hae Ri,kim_hae_ri,-0.2611225,1,7
Seino Nana,seino_nana,-0.26163137,1,7
Okada Nana,okada_nana,-0.27098343,1,5
Italy Monoca,italy_monoca,-0.2711201,1,6
Matsuzaka Keiko,matsuzaka_keiko,-0.29304215,1,7
Miyazawa Rie,miyazawa_rie,-0.29615763,1,7
Kudo Shizuka,kudo_shizuka,-0.30952126,1,6
Imoto Ayaka,imoto_ayaka,-0.31626043,1,9
Vương Tổ Hiền,vng_t_hin,-0.3236542,1,9
Kim Jung Won,kim_jung_won,-0.32973963,1,8
Trương Bá Chi,trng_b_chi,-0.3434803,1,9
Thầm Nguyệt,thm_nguyt,-0.3477972,1,7
Thu Hà,thu_h,-0.35899377,1,9
Tsuyu,tsuyu,-0.36613467,1,7
Tần Lam,tn_lam,-0.36926225,1,10
