method,cohesion_raw,stability_raw,consistency_raw,cohesion_norm,stability_norm,consistency_norm,composite_score
weighted_mean,0.17741498351097107,0.6523811410655245,0.5719880785880785,0.25430746323133,1.0000000517588503,0.8082146854728859,0.6537766747763512
mean_all,0.12037418782711029,0.6519015603626573,0.5776450216450216,0.0,0.9986903795173178,1.0000006051436523,0.5995417841169743
largest_cluster_center,0.3446727395057678,0.2861973683896287,0.5678239789196311,1.0,1.1085518927045178e-08,0.6670402602621284,0.5667600689454637
core_percentile_40,0.1737656146287918,0.5797820770403896,0.5481488801054017,0.23803732303262046,0.8017414930918144,3.267296764786505e-07,0.3758245334776023
